300 000 DH,Année-Modèle:1999,Kilométrage:15 000 - 19 999,Type de carburant:Diesel,Marque:Mercedes-Benz,Modèle:300,Puissance fiscale:14 CV,-,"Type:Voitures, Offre", Tanger
124 000 DH,Année-Modèle:2012,Kilométrage:130 000 - 139 999,Type de carburant:Diesel,Marque:Seat,Modèle:Leon,Puissance fiscale:6 CV,-,"Type:Voitures, Offre", Agadir,Numéro vérifié 
138 000 DH,Année-Modèle:2015,Kilométrage:85 000 - 89 999,Type de carburant:Diesel,Marque:Renault,Modèle:Megane,Puissance fiscale:6 CV,-,"Type:Voitures, Offre", Oujda
105 000 DH,Année-Modèle:2004,Kilométrage:250 000 - 299 999,Type de carburant:Diesel,Marque:Mercedes-Benz,Modèle:220,Puissance fiscale:9 CV,-,"Type:Voitures, Offre", Casablanca,Numéro vérifié 
110 000 DH,Année-Modèle:2006,Kilométrage:200 000 - 249 999,Type de carburant:Diesel,Marque:Mercedes-Benz,Modèle:220,Puissance fiscale:9 CV,Secteur:toute_la_ville,"Type:Voitures, Offre", Oued Zem
73 000 DH,Année-Modèle:2008,Kilométrage:110 000 - 119 999,Type de carburant:Diesel,Marque:Peugeot,Modèle:207,Puissance fiscale:6 CV,Secteur:ain_borja,"Type:Voitures, Offre", Casablanca
119 000 DH,Année-Modèle:2012,Kilométrage:95 000 - 99 999,Type de carburant:Diesel,Marque:Alfa Romeo,Modèle:Giulietta,Puissance fiscale:8 CV,Secteur:agdal,"Type:Voitures, Offre", Fès,Numéro vérifié 
58 000 DH,Année-Modèle:2012,Kilométrage:140 000 - 149 999,Type de carburant:Essence,Marque:Toyota,Modèle:Yaris,Puissance fiscale:-,Secteur:ain_sebaa,"Type:Voitures, Offre", Casablanca
89 000 DH,Année-Modèle:2011,Kilométrage:95 000 - 99 999,Type de carburant:Diesel,Marque:Toyota,Modèle:Corolla,Puissance fiscale:8 CV,Secteur:autre_secteur,"Type:Voitures, Offre", Rabat
135 000 DH,Année-Modèle:2011,Kilométrage:200 000 - 249 999,Type de carburant:Diesel,Marque:Land Rover,Modèle:Freelander,Puissance fiscale:9 CV,Secteur:autre_secteur,"Type:Voitures, Offre", Tanger,Numéro vérifié 
198 000 DH,Année-Modèle:2016,Kilométrage:70 000 - 74 999,Type de carburant:Diesel,Marque:Nissan,Modèle:Qashqai,Puissance fiscale:6 CV,Secteur:massira_1,"Type:Voitures, Offre", Marrakech
57 000 DH,Année-Modèle:2001,Kilométrage:5 000 - 9 999,Type de carburant:Essence,Marque:Suzuki,Modèle:Carry,Puissance fiscale:4 CV,-,"Type:Voitures, Offre", Laâyoune
38 000 DH,Année-Modèle:1998,Kilométrage:0 - 4 999,Type de carburant:Diesel,Marque:Peugeot,Modèle:306,Puissance fiscale:8 CV,-,"Type:Voitures, Offre", Agadir,Numéro vérifié 
110 000 DH,Année-Modèle:2016,Kilométrage:65 000 - 69 999,Type de carburant:Diesel,Marque:Dacia,Modèle:Dokker,Puissance fiscale:6 CV,-,"Type:Voitures, Offre", Béni Mellal,Numéro vérifié 
174 000 DH,Année-Modèle:2014,Kilométrage:55 000 - 59 999,Type de carburant:Diesel,Marque:Ford,Modèle:Kuga,Puissance fiscale:8 CV,Secteur:autre_secteur,"Type:Voitures, Offre", Rabat
96 000 DH,Année-Modèle:2016,Kilométrage:60 000 - 64 999,Type de carburant:Diesel,Marque:Peugeot,Modèle:301,Puissance fiscale:-,Secteur:ain_chock,"Type:Voitures, Offre", Casablanca
152 000 DH,Année-Modèle:2008,Kilométrage:130 000 - 139 999,Type de carburant:Diesel,Marque:Volkswagen,Modèle:Tiguan,Puissance fiscale:8 CV,Secteur:hay_riad,"Type:Voitures, Offre", Rabat
105 000 DH,Année-Modèle:2013,Kilométrage:100 000 - 109 999,Type de carburant:Diesel,Marque:Ford,Modèle:Fiesta,Puissance fiscale:6 CV,Secteur:autre_secteur,"Type:Voitures, Offre", Casablanca,Numéro vérifié 
125 000 DH,Année-Modèle:2012,Kilométrage:100 000 - 109 999,Type de carburant:Diesel,Marque:Skoda,Modèle:Octavia,Puissance fiscale:-,-,"Type:Voitures, Offre", Casablanca
85 000 DH,Année-Modèle:2010,Kilométrage:120 000 - 129 999,Type de carburant:Essence,Marque:Renault,Modèle:Laguna,Puissance fiscale:-,Secteur:toute_la_ville,"Type:Voitures, Offre", Larache
38 000 DH,Année-Modèle:1995,Kilométrage:0 - 4 999,Type de carburant:Diesel,Marque:Peugeot,Modèle:306,Puissance fiscale:8 CV,Secteur:centre_ville,"Type:Voitures, Offre", Tanger
31 000 DH,Année-Modèle:2002,Kilométrage:75 000 - 79 999,Type de carburant:Diesel,Marque:Fiat,Modèle:Palio,Puissance fiscale:7 CV,Secteur:autre_secteur,"Type:Voitures, Offre", Mohammedia
40 000 DH,Année-Modèle:2001,Kilométrage:200 000 - 249 999,Type de carburant:Essence,Marque:BMW,Modèle:Serie 3,Puissance fiscale:11 CV,Secteur:centre_ville,"Type:Voitures, Offre", Mohammedia
480 000 DH,Année-Modèle:1999,Kilométrage:30 000 - 34 999,Type de carburant:Diesel,Marque:Peugeot,Modèle:306,Puissance fiscale:7 CV,-,"Type:Voitures, Offre", Casablanca
38 000 DH,Année-Modèle:2013,Kilométrage:100 000 - 109 999,Type de carburant:Essence,Marque:Hyundai,Modèle:i 10,Puissance fiscale:-,Secteur:toute_la_ville,"Type:Voitures, Offre", Assilah
83 000 DH,Année-Modèle:2009,Kilométrage:15 000 - 19 999,Type de carburant:Diesel,Marque:Peugeot,Modèle:407,Puissance fiscale:6 CV,-,"Type:Voitures, Offre", Rabat
